"Title","SKU","ManufacturerPartNumber","SourceUrl","LocalFile"
"MA Lighting GrandMA3 - Luftfilter 254x51x12","007-214","","https://lichtboxx.com/ma-lighting-grandma3-luftfilter-254x51x12","parts_catalog\lichtboxx_grandma3_air_filter_254x51x12.html"
"MA Lighting GrandMA3 - Display 3,9""","007-244","4022025","https://lichtboxx.com/ma-lighting-grandma3-display-3-9","parts_catalog\lichtboxx_grandma3_display_3_9.html"
"Suchergebnisse für ""grandma+ma+display""","007-175","",,"parts_catalog\lichtboxx_grandma3_display_search.html"
"MA Lighting GrandMA3 - Dual Encoder 4033176","007-209","4033176 (ersetzt 4011395, 4032852), SE00BGE434","https://lichtboxx.com/ma-lighting-grandma3-dual-encoder-4033176","parts_catalog\lichtboxx_grandma3_dual_encoder_4033176.html"
"MA Lighting GrandMA3 - Fader motorisiert, 100mm","007-212","RFM1005K0A","https://lichtboxx.com/ma-lighting-grandma3-fader-motorisiert-100mm","parts_catalog\lichtboxx_grandma3_fader_100mm.html"
"MA Lighting GrandMA3 - Fader motorisiert, 60mm","007-213","RFM0605K0A","https://lichtboxx.com/ma-lighting-grandma3-fader-motorisiert-60mm","parts_catalog\lichtboxx_grandma3_fader_60mm.html"
"MA Lighting GrandMA3 - Kabel, I2C, 8pin/10pin","007-227","4022443, 1000K02821","https://lichtboxx.com/ma-lighting-grandma3-kabel-i2c-8pin-10pin","parts_catalog\lichtboxx_grandma3_i2c_wire_8pin_10pin.html"
"MA Lighting GrandMA3 - Netzteil 500W","007-215","4011398, 1000202461","https://lichtboxx.com/ma-lighting-grandma3-netzteil-500w","parts_catalog\lichtboxx_grandma3_power_supply_500w.html"
"MA Lighting GrandMA3 - Netzschalter beleuchtet","007-207","4011400, SNLRA32H2D","https://lichtboxx.com/ma-lighting-grandma3-netzschalter-beleuchtet","parts_catalog\lichtboxx_grandma3_power_switch.html"
"MA Lighting GrandMA3 - Dreh-Encoder, RGB LED 90°","007-187","1500RGBEH1","https://lichtboxx.com/ma-lighting-grandma3-dreh-encoder-rgb-led-90","parts_catalog\lichtboxx_grandma3_rotary_encoder_rgb_90.html"
"MA Lighting GrandMA3 - Dreh-Encoder ohne LED","007-211","","https://lichtboxx.com/ma-lighting-grandma3-dreh-encoder-ohne-led","parts_catalog\lichtboxx_grandma3_rotary_encoder_without_led.html"
"Suchergebnisse für ""grandma3""","007-207","",,"parts_catalog\lichtboxx_grandma3_search_page1.html"
"Suchergebnisse für ""grandma3""","007-207","",,"parts_catalog\lichtboxx_grandma3_search_page2.html"
"Ma Lighting GrandMA3 SO-DIMM DDR4 RAM 1x8GB","007-205","4011555, 1000202512","https://lichtboxx.com/ma-lighting-grandma3-so-dimm-ddr4-ram-1x8gb","parts_catalog\lichtboxx_grandma3_so_dimm_ddr4_8gb.html"
"MA Lighting GrandMA3 - MA SSD M.2, 128GB","007-208","4030981 (ersetzt 4011556) 1000202262","https://lichtboxx.com/ma-lighting-grandma3-ma-ssd-m-2-128gb","parts_catalog\lichtboxx_grandma3_ssd_m2_128gb.html"
"MA Lighting GrandMA3 Touch-Controller Board 14,9""","007-228","4011547, 1000202591","https://lichtboxx.com/ma-lighting-grandma3-touch-controller-board-14-9","parts_catalog\lichtboxx_grandma3_touch_controller_board_14_9.html"
"MA Lighting GrandMA3 - Touch-Sensor 14,9., Rev.B","007-226","4022703, 1500008012","https://lichtboxx.com/ma-lighting-grandma3-touch-sensor-14-9-rev-b","parts_catalog\lichtboxx_grandma3_touch_sensor_14_9_rev_b.html"
"MA Lighting GrandMA3 Kabel, ZIF 10pin/1.0mm, 100mm","007-218","4022241, 1000K07241","https://lichtboxx.com/ma-lighting-grandma3-kabel-zif-10pin-1-0mm-100mm","parts_catalog\lichtboxx_grandma3_zif_wire_10pin_100mm.html"
"MA Lighting GrandMA3 Kabel, ZIF, 10pin/0.5mm, 50mm","007-217","4011878, 1000K07101","https://lichtboxx.com/ma-lighting-grandma3-kabel-zif-10pin-0-5mm-50mm","parts_catalog\lichtboxx_grandma3_zif_wire_10pin_50mm.html"
"MA Lighting GrandMA3 - Display/Touch-Sensor 15,6""","007-225","","https://lightspares.com/ma-lighting-grandma3-displaytouch-sensor-156-007-225","parts_catalog\lightspares_grandma3_display_touch_15_6.html"
"MA Lighting GrandMA3 - Fader motorized, 60mm","007-213","","https://lightspares.com/ma-lighting-grandma3-fader-motorized-60mm-007-213","parts_catalog\lightspares_grandma3_fader_60mm.html"
"grandMA3","007-100","",,"parts_catalog\lightspares_grandma3_parts_page1.html"
"grandMA3","007-227","",,"parts_catalog\lightspares_grandma3_parts_page2.html"
